model,overall,agricultural-and-biological-sciences,arts-and-humanities,biochemistry-genetics-and-molecular-biology,business-management-and-accounting,chemical-engineering,chemistry,computer-science,decision-sciences,earth-and-planetary-sciences,economics-econometrics-and-finance,energy,engineering,environmental-science,immunology-and-microbiology,materials-science,mathematics,medicine,neuroscience,nursing,pharmacology-toxicology-and-pharmaceutics,physics-and-astronomy,psychology,social-sciences,veterinary,dentistry,health-professions,timestamp
smollm2:135m,47.1538,49.8,50.0,51.3,56.1,37.1,43.3,46.5,39.8,50.1,51.4,42.6,47.6,47.3,43.7,52.0,42.7,45.2,45.0,45.4,54.0,49.8,48.6,49.1,48.6,43.3,45.7,2025-11-08T16:53:30.171198
smollm:135m,21.2462,15.3,26.7,28.3,19.0,25.1,23.8,20.2,16.3,20.5,21.1,22.1,24.0,21.7,16.9,19.5,19.5,19.3,16.3,21.0,29.5,22.7,21.4,23.0,9.1,19.2,30.9,2025-11-08T23:45:52.498773
gemma3:270m,-39.0231,-50.3,-45.6,-41.7,-34.8,-39.6,-39.5,-26.3,-34.8,-50.9,-43.7,-40.7,-34.4,-43.3,-38.7,-48.4,-33.5,-34.0,-26.8,-39.5,-42.2,-42.5,-23.1,-41.4,-42.5,-38.8,-37.6,2025-11-09T00:37:36.782561
smollm2:360m,66.1269,64.5,74.2,40.4,76.0,78.2,72.2,63.5,73.9,64.6,75.5,62.2,76.1,76.0,48.9,76.6,53.1,65.8,37.3,66.7,47.2,73.5,68.6,72.4,69.9,64.4,77.6,2025-11-09T01:00:36.561200
smollm:360m,38.8,40.3,34.2,34.7,46.1,41.1,32.2,38.6,39.1,36.2,41.9,52.7,41.9,45.9,35.9,39.3,40.9,38.8,23.4,34.5,33.4,34.6,40.7,41.2,45.0,31.4,44.8,2025-11-09T06:03:52.732053
qwen:0.5b,-13.9538,-18.5,-21.8,-20.8,-28.7,-7.8,-0.2,-21.8,-18.7,-23.6,-25.6,-4.6,-9.6,-15.4,-20.3,-4.9,-6.4,-9.9,-2.3,-7.4,-10.1,-17.5,-13.6,-13.7,-8.6,-13.6,-17.4,2025-11-09T06:47:54.200544
qwen2:0.5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-09T07:18:06.848962
qwen2.5:0.5b,85.7269,87.1,85.4,86.8,85.7,88.3,88.5,87.5,87.4,83.3,82.2,89.9,87.6,86.1,85.8,91.7,68.2,83.8,84.3,88.6,88.4,85.8,86.5,85.5,82.7,84.4,87.4,2025-11-09T07:51:10.249760
qwen2.5-coder:0.5b,-88.8577,-90.9,-88.3,-89.2,-84.4,-92.4,-95.2,-90.2,-88.2,-87.0,-85.8,-93.4,-91.4,-87.8,-87.0,-94.0,-90.6,-86.0,-86.3,-88.5,-91.4,-93.3,-85.7,-84.9,-85.2,-84.8,-88.4,2025-11-09T08:22:39.633556
qwen3:0.6b,40.7346,33.7,30.2,39.9,43.8,45.1,42.7,41.9,45.9,41.3,33.6,47.8,44.2,39.2,41.6,49.7,42.7,39.4,41.5,40.3,39.3,48.6,43.8,35.4,34.0,36.4,37.1,2025-11-09T13:46:47.993626
gemma3:1b,44.7115,35.8,40.9,29.1,43.8,52.5,50.1,57.7,60.2,40.2,29.4,62.8,55.3,41.8,31.3,50.2,36.5,53.3,47.5,48.6,32.2,34.3,48.5,58.5,35.2,40.1,46.7,2025-11-09T14:48:13.820610
tinyllama:1.1b,55.7231,39.8,60.3,47.6,68.3,65.3,63.8,71.9,78.3,35.1,62.3,53.4,65.5,52.9,46.0,67.9,82.0,44.8,56.6,51.5,36.3,50.5,48.4,46.7,51.4,42.8,59.4,2025-11-09T15:07:44.370640
tinydolphin:1.1b,-19.0385,-1.1,-7.2,-40.7,-25.0,-15.9,-20.1,-1.2,-17.6,-20.6,-24.7,-6.5,-4.4,-10.5,-12.6,-23.2,11.0,-42.1,-28.5,-19.7,-46.8,-28.0,-17.1,-19.1,-13.1,-38.2,-22.1,2025-11-09T15:40:48.869374
